z,Hz_obs,Hz_err,Hz_model,residual
0.07,69.0,19.6,69.98084718285328,-0.9808471828532817
0.09,69.0,12.0,69.32704657412646,-0.3270465741264559
0.12,68.6,26.2,68.3362766935647,0.2637233064352955
0.17,83.0,8.0,66.66410042762705,16.335899572372952
0.1791,75.0,4.0,66.3576491956907,8.642350804309302
0.1993,75.0,5.0,65.67572380048054,9.32427619951946
0.2,72.9,29.6,65.65205738200979,7.247942617990219
0.27,77.0,14.0,63.27932192505455,13.720678074945447
0.28,88.8,36.6,62.94017701427247,25.859822985727526
0.3519,83.0,14.0,60.51062855716883,22.48937144283117
0.3802,83.0,13.5,59.5618479112385,23.4381520887615
0.4,95.0,17.0,58.90162678012492,36.09837321987508
0.4004,77.0,10.2,58.888322797833354,18.111677202166646
0.4247,87.1,11.2,58.08283405521445,29.017165944785546
0.4497,92.8,12.9,57.260211541586735,35.53978845841326
0.4783,80.9,9.0,56.32753142976575,24.572468570234257
0.48,97.0,62.0,56.27239351021015,40.72760648978985
0.5929,104.0,13.0,52.6966023142937,51.3033976857063
0.6797,92.0,8.0,50.07781895094214,41.92218104905786
0.7812,105.0,12.0,47.17583015479124,57.82416984520876
0.8754,125.0,17.0,44.644052781280045,80.35594721871996
0.88,90.0,40.0,44.52444121677772,45.47555878322228
0.9,117.0,23.0,44.008736851164564,72.99126314883543
1.037,154.0,20.0,40.664043348945846,113.33595665105415
1.3,168.0,17.0,35.11196137612834,132.88803862387167
1.363,160.0,33.6,33.937278252898224,126.06272174710178
1.43,177.0,18.0,32.74804475525033,144.25195524474967
1.53,140.0,14.0,31.081531667612545,108.91846833238745
1.75,202.0,40.0,27.827028218104687,174.1729717818953
1.965,186.5,50.4,25.116927754617393,161.3830722453826
chi2_total,410.50238097066466,,,
mse_total,5514.254810617881,,,
